80,8172,41840.34
80,810,6.07
10042,800,25.71
80,80,17135.29
805,815,652.14
815648,815648,15758.81
8176,8176,1530.96
800,807165690,26243.91
80,814687950,660.24
802688,8096,3766.48
8075,8075,5188.41
801584250,80,679.56
8035,8035,131.79
80,80,132.31
8006,80,2301.22
8183,8183,23555.79
10042,80,177.51
813,81,6824.84
809999370,80,145.0
802,802,158.86
8071,8099719,5053.29
815,8190,68106.28
809,80,1466.84
800939400,8020,3004.43
800,801,133.55
807,80,1998.11
8131,8131,4.68
803770560,809635,333.69
800205,80193,906.37
812,812,1889.0
10042,80176,2099.9
800194,800,5317.08
81,81,4.54
810,81,17678.38
80011,800284830,350.71
10042,8142,2146.95
80,80,22.74
804724700,80,31829.34
10042,81701,2405.43
8001,800363230,1.74
810,816,104245.23
805,805,2292.94
80,80,217.05
807196,814,549.95
80285,80856,35657.14
803321600,80,451.31
81,81,730.56
808471,80,1171152.19
800,80,259.12
807407,807407,8105.7
80024,800,466.74
801912700,801,699.99
8079,807992010,528.69
10042,805875,36271.37
802,81,297696.26
80,80,91.12
817271670,817271670,19.62
80,80,17572.56
8121916,8121916,8.6
806914650,80,26898.59
8079,816367,577.29
80302,80,3169.38
8031,80,1823.76
8172556,8186,969.13
80,812857,119.77
10042,8078933,5.16
8077,80833,783983.59
804266380,80,10195199.0
10042,81215,287.09
801200,8065,173.46
811002,811005,2874.0
800,809,679.7
8014878,8014878,6921.67
10042,80,255.44
8056,81524,3389.24
80,80,1414.79
8020,8030,426.74
80,80,2832.75
80,80,37575.0
800,81,114047.57
10042,8013,11.34
10042,809,5342.98
8018,807442,7040.17
819,819,1181.27
804159170,8138,184384.07
80,80,182.69
800863,814,864.75
8188,819648,472.32
807,807,223.88
802453,80295,108.21
801684910,801684910,17020.69
10042,801406100,544.63
8001,811,64710.92
80752,80,5.18
808328020,81,1627.24
805656,80,42129.82
10042,81724,14197.18
814963,81802,21698.28
80962,805,6.26
80,80,7095.14
80,80,356461.96
8001,806,11562.47
818025150,818037,198.2
10042,808826590,62.77
800,8015,4491.63
804535500,8060,224.49
8003948,812,555.78
8182712,81828,805.39
8043138,81,123.16
80,80,47.67
80,8116,611.74
8020,8080,413064.27
80,80,38437.94
80,80,49116.67
80,812,11322.7
80555,8071,534.4
804,80575,48.14
815,816101,313.54
80817,808,31.54
806,80,3757126.32
804,805545080,1192.08
813238990,81323,232.53
800211,8016,31748.15
8061944,8061944,11741.57
8002,800815,2838.29
804249220,8061,1250.11
800,815,559.41
8005,8032,1246.55
801,801,38.28
8061206,80,1947.68
8096,80,2603.59
808637550,808637550,141753.63
10042,803,1527.8
8061,80,18457.28
80,8111995,14.89
8065,8160,5663.38
81295,8158892,57.51
8100,813,8.2
80073,80558,187.42
81642,81,2797.33
8057,816216710,147.01
800652810,800,761.37
8009,807,2470.69
80887,808849,592.09
8008,8009,3284.78
80,81,5.79
80058,803,819.13
800,805,617.89
814,814,1867.61
802,819777,2691.81
808,808,108.28
817,80,84.88
806,80,234.13
8006,804,1195.74
802084340,8102,3510.36
80559,81550,17.31
806,80,3717.71
8017,802169,2673.66
8041,807,7145.18
800054200,800054200,993.37
80,80,572.62
800,80141,205.92
80,814,77.55
80,8141,77376.33
8095,8095,14.87
8058173,8127,1.2
80015,8005497,1020.04
10042,815892370,84.17
80,80,81934.95
803,80770,853.23
807,80,573.27
8052,806162,13115.33
800,805,1.6
810,810,1142.27
10042,8084,15294.13
800320,8057,17488.23
8006,807,9.74
80,80,2365.62
80517,806,85532.07
807618250,807618250,432495.75
810,810,331.62
803,806573,1160.07
8115,8115,2815.37
10042,80,151.65
10042,801250190,2242.09
802,802,4491.29
8011,8083,3289.29
801,8082,116348.25
10042,80,2761.08
80,81379,212.24
800,805335470,4.54
8009,802476980,346.09
805,808222,75.59
800,80,795.02
807690660,81,184.62
8087,8087,328.63
81387,815801620,115.94
10042,8015,38.34
800182720,806,174.15
800,81170,251.06
801,804,4253.12
80,80,233.77
807,807,85408.45
8070,811379780,56.57
800,80,18434.0
802,802,2001.4
800,812852020,168.3
10042,8000,175.13
8012,8012,1007.52
80425,804,31282.0
80142,80,704.12
80,816,4801.38
802988310,817470,109215.38
81,81,267.58
806,80,966.58
801,804,19.56
80,80,304.13
80153,80216,8666.2
805458,81102,505.89
8019,81319,158.34
81655,817019,751.53
10042,80846,206.57
10042,80993,235883713.87
801579520,80,198.99
806549830,80,166.38
8006,80,100.77
807,80,1109.52
8055912,80,0.81
8018,8040,5.59
806,80,2708.96
80,80,90818.12
8021,8057,3031.13
8057,819,3615.16
816,816,3311.88
809,809,20317.87
802403040,81,13092.79
805,8108,3269.17
808,808,689.04
8076,80,199.49
10042,8008,214.15
80612,81323,3976.99
818236990,818234,4329.7
81885,81885,209.2
10042,809046,765.66
805,805,23.02
8008,800,115.94
10042,8136707,3104.88
805258,808359,2897.91
809130120,80,2723.99
8030,803,209.0
10042,8054,1881008.39
8030,80754,20737.37
10042,80,10.29
80234,80,104.21
814672420,814671,2512.99
800,8038,132.46
800,801126860,2710.27
800196700,8002,14.99
8006,806,13.86
8014,80,318.27
800,8010,669.93
805622,80,8069.57
8003,8016,372.39
10042,80,7254.56
80377,80,1.26
8081,811794100,4421.85
80,80,3745.21
10042,80,733.73
805,81650,1948.89
80,8196,299.27
8027138,805,3266.41
80,80,283.65
800,8113,700.71
803,806,554.09
10042,816207,11295.05
80,80,568.85
8097,80,196.64
81388,816,391.8
8006853,8031,23159.03
80088,801764,476.94
80,80,2067.43
80124,80,322.93
80402,81,11.4
800,80,4316.18
8023,81081,1298.48
80,80,7996.87
10042,80,173010.48
803364,803890140,18399.53
8013,80,23725.95
803011990,806,154.13
80,80,54063.75
80,80,430442.0
8002262,80478,417.45
